CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCIÓN,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
02-01-0027-46,02-014,EL PROGRESO,GUASTATOYA,INSTITUTO TECNICO INDUSTRIAL MIXTO GUASTATOYA,BARRIO EL CALVARIO,79450881,JAIME RODOLFO CRUZ CASTILLO,,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGÜE,DOBLE,DIARIO(REGULAR),EL PROGRESO
02-01-0028-46,02-014,EL PROGRESO,GUASTATOYA,COLEGIO DE CIENCIAS COMERCIALES EL PROGRESO,BARRIO EL PORVENIR,79451265,JAIME RODOLFO CRUZ CASTILLO,DANIEL LOPEZ SOLIS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGÜE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0031-46,02-014,EL PROGRESO,GUASTATOYA,INSTITUTO NACIÓNAL DE EDUCACIÓN DIVERSIFICADA,BARRIO EL PORVENIR,,JAIME RODOLFO CRUZ CASTILLO,,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGÜE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0038-46,02-014,EL PROGRESO,GUASTATOYA,INSTITUTO DE EDUCACIÓN MEDIA POR MADUREZ,"COLONIA NUEVA VIDA, BARRIO EL PORVENIR",7945177,JAIME RODOLFO CRUZ CASTILLO,MARCO AURELIO MAZARIEGOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGÜE,DOBLE,FIN DE SEMANA,EL PROGRESO
02-01-0044-46,02-004,EL PROGRESO,GUASTATOYA,INSTITUTO OFICIAL DE EDUCACIÓN BASICA Y BACHILLERATO POR MADUREZ CAMINO DEL SABER,BARRIO LAS JOYAS,56962830,EDGAR RUDY MORALES GODINEZ,MARIA ELENA LEMUS MURALLES DE AREVALO,DIVERSIFICADO,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGÜE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0046-46,02-014,EL PROGRESO,GUASTATOYA,COLEGIO DE APLICACIÓNES INTEGRADAS GUASTATOYA,BARRIO EL PORVENIR,79450840,JAIME RODOLFO CRUZ CASTILLO,BRENDA VALIENTE,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGÜE,DOBLE,SABATINO,EL PROGRESO
02-01-0049-46,02-021,EL PROGRESO,GUASTATOYA,CENTRO MUNICIPAL DE EDUCACIÓN EXTRAESCOLAR CEEX,ALDEA SANTA RITA,41398634,MARTA ELIDA CARIAS HERNANDEZ DE GARCIA,MARVIN RAMOS ORELLANA,DIVERSIFICADO,MUNICIPAL,RURAL,ABIERTA,MONOLINGÜE,DOBLE,FIN DE SEMANA,EL PROGRESO
02-01-0054-46,02-014,EL PROGRESO,GUASTATOYA,COLEGIO EVANGELICO TORRE FUERTE,"COLONIA HICHOS, BARRIO EL PORVENIR",79451993,JAIME RODOLFO CRUZ CASTILLO,LILIAN IZAGUIRRE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGÜE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0057-46,02-014,EL PROGRESO,GUASTATOYA,COLEGIO HIGA,COLONIA HICHOS,42876685,JAIME RODOLFO CRUZ CASTILLO,ERIKA OLIVA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGÜE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0257-46,02-010,EL PROGRESO,GUASTATOYA,CENTRO EDUCATIVO GUAYACAN,BARRIO EL CALVARIO,79451749,MIRNA YANETT FERRERA CASTILLO,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGÜE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0559-46,02-014,EL PROGRESO,GUASTATOYA,COLEGIO CATOLICO PARTICULAR MIXTO PADRE GABRIEL PEÑATE RODRIGUEZ,BARRIO EL CALVARIO,79451749,JAIME RODOLFO CRUZ CASTILLO,EDELMIRA ORTIZ PEREZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGÜE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0607-46,02-014,EL PROGRESO,GUASTATOYA,INSTITUTO DIVERSIFICADO POR COOPERATIVA,BARRIO EL PORVENIR,79452363,JAIME RODOLFO CRUZ CASTILLO,,DIVERSIFICADO,COOPERATIVA,URBANA,ABIERTA,MONOLINGÜE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO
