CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCIÓN,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
14-01-0077-46,14-001,QUICHE,SANTA CRUZ DEL QUICHE,INSTITUTO ADOLFO V HALL,"KILOMETRO 161 ENTRADA A SANTA CRUZ DEL QUICHE, ANTIGUA ZONA MILITAR",77551548,JOSE OSCAR TIPAZ VELASQUEZ,CORONEL DE INFNTERIA DEM. MARVIN JUAN CARLOS GARCÍA PONCE,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGÜE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0079-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,COLEGIO EVANGELICO METODISTA UTATLAN,"4A CALLE Y 6A-12, ZONA 5",77551551,GONZALO VENTURA LUX,LUIS HUMBERTO ECHEVERRÍA GIL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGÜE,DOBLE,DIARIO(REGULAR),QUICHÉ
14-01-0085-46,14-001,QUICHE,SANTA CRUZ DEL QUICHE,INSTITUTO NORMAL MIXTO JUAN DE LEON,12 CALLE 0-36 ZONA 5,77551966,JOSE OSCAR TIPAZ VELASQUEZ,ASTRID MIRTALA VALDEZ GOMEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGÜE,VESPERTINA,DIARIO(REGULAR),QUICHÉ
14-01-0090-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,COLEGIO MIXTO BILINGÜE INTERCULTURAL Q´IJ,11A. CALLE 06-03 ZONA 1,77550476,GONZALO VENTURA LUX,TOMAS ALVAREZ ORTIZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,BILINGÜE,DOBLE,FIN DE SEMANA,QUICHÉ
14-01-0108-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,COLEGIO TECNICO AVANZADO,4A. AVENIDA 20-174 ZONA 4,77554695,GONZALO VENTURA LUX,JACQUELINE ARGENTINA SOLARES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGÜE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0112-46,14-001,QUICHE,SANTA CRUZ DEL QUICHE,INSTITUTO NACIÓNAL DE EDUCACIÓN DIVERSIFICADA,"20 CALLE FINAL ZONA 4, COLONIA LOS CELAJES",77554630,JOSE OSCAR TIPAZ VELASQUEZ,TIMOTEA VIVIANA REYNOSO TAVICO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGÜE,VESPERTINA,DIARIO(REGULAR),QUICHÉ
14-01-0163-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,COLEGIO EVANGELICO METODISTA JOHN WESLEY,6TA. AVENIDA 00-002 DE LA ZONA 1,77563692,GONZALO VENTURA LUX,FAUSTO GILBERTO NATARENO LOPEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGÜE,VESPERTINA,DIARIO(REGULAR),QUICHÉ
14-01-0167-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,COLEGIO MULTIEDUCATIVO LA REFORMA,"3A. AVENIDA 4-35, ZONA 1",77563633,GONZALO VENTURA LUX,AVELINO ARMANDO LEON ZACARIAS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGÜE,DOBLE,FIN DE SEMANA,QUICHÉ
14-01-0176-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,INSTITUTO PRIVADO MIXTO DE COMPUTACIÓN INFORMATICA,2A. AVENIDA 9-58 ZONA 1,77563753,GONZALO VENTURA LUX,OSCAR MANUEL LOPEZ SOLORZANO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGÜE,VESPERTINA,DIARIO(REGULAR),QUICHÉ
14-01-0181-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,INSTITUTO PRIVADO MIXTO CIENCIA Y CULTURA,"1A. CALLE 13-41, ZONA 2",77563487,GONZALO VENTURA LUX,ELMER ROLANDO PACHECO NORIEGA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGÜE,DOBLE,FIN DE SEMANA,QUICHÉ
14-01-0183-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,COLEGIO CIENTIFICO INTEGRAL EINSTEIN,"14 AVENIDA 2-38, ZONA 3",49854279,GONZALO VENTURA LUX,CARLOS ENRIQUE CHAYANNY DELGADO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGÜE,VESPERTINA,DIARIO(REGULAR),QUICHÉ
14-01-0186-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,COLEGIO MIXTO BILINGÜE INTERCULTURAL Q IJ,11 CALLE 6-03 ZONA 1,77550476,GONZALO VENTURA LUX,TOMAS ALVAREZ ORTIZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGÜE,DOBLE,FIN DE SEMANA,QUICHÉ
