CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCIÓN,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
03-01-0052-46,03-001,SACATEPEQUEZ,ANTIGUA GUATEMALA,ESCUELA NACIÓNAL DE CIENCIAS COMERCIALES SECCIÓN NOCTURNA,5A. CALLE ORIENTE N-17,78328708,MIRIAM ARACELY ORTIZ MENDOZA DE CHICOJAY,,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGÜE,NOCTURNA,DIARIO(REGULAR),SACATEPÉQUEZ
03-01-0053-46,03-010,SACATEPEQUEZ,ANTIGUA GUATEMALA,INSTITUTO INDIGENA NUESTRA SEÑORA DEL SOCORRO,PLAZUELA BELEN,78320322,ZOILA ESTHELA JONFE OROZCO,MARIA CONSUELO QUINTANILLA MEZA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGÜE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ
03-01-0055-46,03-010,SACATEPEQUEZ,ANTIGUA GUATEMALA,LICEO ROSALES,CALLE DE LOS NAZARENOS NO. 16,78325538,ZOILA ESTHELA JONFE OROZCO,LYDIA ROSALES CHAVEZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGÜE,VESPERTINA,DIARIO(REGULAR),SACATEPÉQUEZ
03-01-0056-46,03-010,SACATEPEQUEZ,ANTIGUA GUATEMALA,LICEO ANTIGUEÑO,3A. CALLE ORIENTE N-11,78320670,ZOILA ESTHELA JONFE OROZCO,JOSUÉ NATHAN SOLÓRZANO BERDÚO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGÜE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ
03-01-0057-46,03-010,SACATEPEQUEZ,ANTIGUA GUATEMALA,COLEGIO LA SALLE,4A. AVENIDA NORTE N-26,78320556,ZOILA ESTHELA JONFE OROZCO,PIO RAUL HERNANDEZ GARCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGÜE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ
03-01-0058-46,03-001,SACATEPEQUEZ,ANTIGUA GUATEMALA,INSTITUTO NORMAL P/SEÑORITAS OLIMPIA LEAL,5A. CALLE ORIENTE N-15,78323391,MIRIAM ARACELY ORTIZ MENDOZA DE CHICOJAY,,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGÜE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ
03-01-0059-46,03-001,SACATEPEQUEZ,ANTIGUA GUATEMALA,INSTITUTO NORMAL PARA VARONES ANTONIO LARRAZABAL,FINCA LA PRIMAVERA SALIDA A SANTA MARIA DE JESUS KM.2,58437849,MIRIAM ARACELY ORTIZ MENDOZA DE CHICOJAY,MANUEL ANTONIO ESTRADA ORTIZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGÜE,VESPERTINA,DIARIO(REGULAR),SACATEPÉQUEZ
03-01-0075-46,03-010,SACATEPEQUEZ,ANTIGUA GUATEMALA,COLEGIO MUNDO VERDE,2A. AVENIDA SUR NO. 46,78320315,ZOILA ESTHELA JONFE OROZCO,MANUEL ESTRADA ORTIZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGÜE,VESPERTINA,DIARIO(REGULAR),SACATEPÉQUEZ
03-01-0089-46,03-010,SACATEPEQUEZ,ANTIGUA GUATEMALA,COLEGIO REY DE LAS NACIÓNES,"KILOMETRO 50, CARRETERA A SAN JUAN DEL OBISPO",78329202,ZOILA ESTHELA JONFE OROZCO,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGÜE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ
03-01-0090-46,03-010,SACATEPEQUEZ,ANTIGUA GUATEMALA,COLEGIO MIXTO PREUNIVERSITARIO GALILEO GALILEI,CALLE ANCHA NO. 86,78320255,ZOILA ESTHELA JONFE OROZCO,JUAN RAMON MARROQUIN GOMEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGÜE,VESPERTINA,DIARIO(REGULAR),SACATEPÉQUEZ
03-01-0091-46,03-010,SACATEPEQUEZ,ANTIGUA GUATEMALA,INSTITUTO TECNICO EMPRESARIAL,CALLE CHIPILAPA NO. 11,78326854,ZOILA ESTHELA JONFE OROZCO,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGÜE,VESPERTINA,DIARIO(REGULAR),SACATEPÉQUEZ
